ap,p,t,B,lfc
0.996,0.010493,-3.1396791,-3.94,-0.60504462
0.996,0.010498,-3.1393652,-3.94,-0.71847284
0.996,0.010505,3.1389805,-3.94,0.86485484
0.996,0.010593,3.1341183,-3.94,1.44881874
0.996,0.010609,-3.1332216,-3.94,-0.45803754
0.996,0.010619,3.1326255,-3.94,0.29673948
0.996,0.010641,3.1314394,-3.94,0.8610692
0.996,0.010723,-3.1269516,-3.94,-0.55870774
0.996,0.010723,3.1269218,-3.94,0.6970534
0.996,0.010727,-3.1267267,-3.94,-1.1152098
0.996,0.010739,3.1260742,-3.94,0.60519516
0.996,0.010743,-3.1258185,-3.94,-0.7360299
0.996,0.01079,3.1232817,-3.94,0.41804666
0.996,0.010817,-3.1218189,-3.94,-0.55049424
0.996,0.010902,-3.1172241,-3.94,-0.91672522
0.996,0.010921,3.1161798,-3.94,0.46711928
0.996,0.010921,-3.116166,-3.94,-0.57005152
0.996,0.010962,3.1139681,-3.94,0.8539871
0.996,0.010976,-3.1132653,-3.94,-1.06292422
0.996,0.010985,-3.112768,-3.94,-1.24885818
0.996,0.010994,3.1122629,-3.95,0.90905878
0.996,0.011019,3.1109366,-3.95,0.732022
0.996,0.011019,-3.1109264,-3.95,-1.3166531
0.996,0.011043,-3.109662,-3.95,-0.70308252
0.996,0.011067,3.108394,-3.95,0.51047714
0.996,0.011072,-3.1081373,-3.95,-0.82125196
0.996,0.011121,3.1055277,-3.95,0.6490268
0.996,0.011131,-3.1050205,-3.95,-1.60459728
0.996,0.011135,3.1047915,-3.95,0.25568696
0.996,0.011142,-3.1044451,-3.95,-1.24187436
0.996,0.011216,3.1005465,-3.95,0.80415696
0.996,0.011239,3.0993461,-3.95,0.74016648
0.996,0.011247,3.0989321,-3.95,0.57761694
0.996,0.01133,3.0946108,-3.95,0.47022742
0.996,0.01134,-3.0941066,-3.95,-0.40275444
0.996,0.011401,-3.090964,-3.95,-1.66855622
0.996,0.011413,-3.0903237,-3.95,-0.94535262
0.996,0.011442,3.0888453,-3.95,0.69687712
0.996,0.011444,-3.0887368,-3.95,-1.03415026
0.996,0.011476,-3.0871131,-3.95,-0.39205348
0.996,0.011476,3.0870961,-3.95,0.47974038
0.996,0.011497,3.0860254,-3.95,0.4065218
0.996,0.011509,3.0854419,-3.95,0.6257512
0.996,0.011527,3.0844943,-3.95,0.334232
0.996,0.011564,3.0826134,-3.95,0.50830286
0.996,0.011588,3.0814193,-3.95,1.0837944
0.996,0.011628,-3.0794145,-3.95,-0.42483356
0.996,0.011672,-3.0771967,-3.96,-1.13244796
0.996,0.011712,-3.0751631,-3.96,-0.85170464
0.996,0.011714,3.0750628,-3.96,0.3807216
0.996,0.011761,3.0727322,-3.96,0.76329358
0.996,0.011802,3.0707099,-3.96,0.57210978
0.996,0.011826,3.0694979,-3.96,0.5286191
0.996,0.011836,-3.0690115,-3.96,-0.5427922
0.996,0.011852,3.0682179,-3.96,0.59357536
0.996,0.011854,3.0681194,-3.96,0.5543854
0.996,0.011877,-3.0669903,-3.96,-0.7549901
0.996,0.011877,3.0669864,-3.96,0.70501342
0.996,0.011898,3.0659454,-3.96,0.55212828
0.996,0.011937,-3.064037,-3.96,-2.04799178
0.996,0.011943,-3.0637455,-3.96,-0.83976014
0.996,0.011944,3.0636882,-3.96,0.75744816
0.996,0.011972,-3.0623211,-3.96,-0.54651356
0.996,0.012008,-3.0605589,-3.96,-1.63859794
0.996,0.012045,-3.0587686,-3.96,-0.84877308
0.996,0.012047,3.0586417,-3.96,0.9580865
0.996,0.012069,3.0576051,-3.96,0.64215086
0.996,0.012119,-3.055152,-3.96,-0.637959
0.996,0.012135,-3.0543816,-3.96,-0.78238802
0.996,0.012142,3.0540478,-3.96,0.55097592
0.996,0.012197,3.0514351,-3.96,1.0804305
0.996,0.012212,-3.0506964,-3.96,-0.6671823
0.996,0.012212,3.0506701,-3.96,0.4772198
0.996,0.012283,-3.0473181,-3.96,-0.462883
0.996,0.012373,3.0430084,-3.97,0.66360428
0.996,0.012404,3.0415404,-3.97,0.4683475
0.996,0.012407,3.0414378,-3.97,0.49682406
0.996,0.012411,-3.0412452,-3.97,-0.7306123
0.996,0.012445,3.0396419,-3.97,0.42788264
0.996,0.012464,3.0387526,-3.97,0.69455486
0.996,0.01248,3.0379844,-3.97,0.3848092
0.996,0.012513,3.0364475,-3.97,0.57209564
0.996,0.0126,-3.03238,-3.97,-0.58431322
0.996,0.012615,-3.0316699,-3.97,-0.77714618
0.996,0.012628,3.031089,-3.97,1.03026638
0.996,0.012647,-3.0301992,-3.97,-1.24760086
0.996,0.012684,-3.0284793,-3.97,-0.3556744
0.996,0.012695,-3.0279731,-3.97,-0.87809822
0.996,0.012707,-3.0274283,-3.97,-1.62472768
0.996,0.012773,-3.0244047,-3.97,-0.29541414
0.996,0.012776,3.0242819,-3.97,0.52914508
0.996,0.012852,3.0208056,-3.97,0.37796714
0.996,0.012879,3.019562,-3.97,1.17921356
0.996,0.012918,3.0177826,-3.97,0.64185502
0.996,0.012919,-3.0177738,-3.97,-0.94961422
0.996,0.012947,3.0164914,-3.97,0.33126064
0.996,0.01295,-3.0163446,-3.97,-0.36080976
0.996,0.012951,-3.0163036,-3.97,-0.80635822
0.996,0.012995,3.0143226,-3.97,0.7200285
0.996,0.013014,-3.0134672,-3.97,-0.65123078
0.996,0.013014,-3.0134493,-3.97,-0.58194646
0.996,0.013047,-3.0119865,-3.97,-0.43533002
0.996,0.013065,3.0111582,-3.97,1.55527404
0.996,0.013069,-3.0110091,-3.97,-0.91610472
0.996,0.01312,-3.0087003,-3.98,-1.94507038
0.996,0.013134,3.008113,-3.98,0.91134292
0.996,0.013142,3.0077225,-3.98,0.4821809
0.996,0.013159,3.0069833,-3.98,0.308425
0.996,0.013168,3.0065659,-3.98,0.6464287
0.996,0.013194,3.0054355,-3.98,0.41918838
0.996,0.013205,-3.0049331,-3.98,-0.97793932
0.996,0.013213,-3.0045746,-3.98,-0.56340804
0.996,0.013234,-3.0036836,-3.98,-0.2824292
0.996,0.013293,3.0010824,-3.98,0.72344342
0.996,0.013295,3.0009575,-3.98,0.4733766
0.996,0.013322,2.9997865,-3.98,0.5606014
0.996,0.013345,2.9987572,-3.98,0.47059798
0.996,0.013348,2.9986494,-3.98,0.58812134
0.996,0.013371,-2.99764,-3.98,-0.54640042
0.996,0.01343,2.9950803,-3.98,0.64168454
0.996,0.013431,2.9950272,-3.98,0.92876586
0.996,0.013438,-2.9947275,-3.98,-1.07050856
0.996,0.013451,-2.9941459,-3.98,-0.3609093
0.996,0.013453,2.994072,-3.98,0.4990892
0.996,0.013477,-2.9930326,-3.98,-0.83491186
0.996,0.01349,-2.9924667,-3.98,-0.53065758
0.996,0.013517,-2.9912827,-3.98,-0.9960983
0.996,0.013521,2.9911113,-3.98,0.48878276
0.996,0.01356,-2.9894403,-3.98,-1.30060826
0.996,0.013565,2.9892126,-3.98,0.90116976
0.996,0.013572,-2.9889003,-3.98,-1.28924554
0.996,0.013575,2.988797,-3.98,0.71785096
0.996,0.013639,2.9860476,-3.98,0.56643952
0.996,0.013658,-2.9852115,-3.98,-0.5381516
0.996,0.01367,-2.9847278,-3.98,-2.28313558
0.996,0.01375,-2.9813069,-3.98,-1.79530408
0.996,0.013764,-2.9806994,-3.98,-0.49928338
0.996,0.013776,-2.9801906,-3.98,-0.93079314
0.996,0.013794,-2.979447,-3.98,-0.64593226
0.996,0.01384,-2.9774963,-3.98,-0.68343088
0.996,0.013847,2.9771776,-3.98,0.36783932
0.996,0.013882,-2.975707,-3.98,-2.4057572
0.996,0.013889,2.9754219,-3.98,0.8584881
0.996,0.013902,-2.9748838,-3.99,-0.86165222
0.996,0.013949,2.9728985,-3.99,0.41551218
0.996,0.01397,2.9720126,-3.99,0.34647578
0.996,0.013984,-2.9714441,-3.99,-0.4121137
0.996,0.01399,2.9711746,-3.99,0.60518182
0.996,0.014049,-2.9687332,-3.99,-0.58369236
0.996,0.014077,-2.967555,-3.99,-0.6477296
0.996,0.014091,-2.9670056,-3.99,-0.54345176
0.996,0.014163,-2.96401,-3.99,-0.38156472
0.996,0.014176,2.9634682,-3.99,0.52822426
0.996,0.014187,-2.9630368,-3.99,-1.2031818
0.996,0.014249,2.9604842,-3.99,0.57773486
0.996,0.014298,-2.9584565,-3.99,-0.6443012
0.996,0.014298,-2.9584548,-3.99,-1.15980266
0.996,0.014321,2.9575297,-3.99,0.7589676
0.996,0.014329,-2.9572125,-3.99,-1.02800296
0.996,0.014332,-2.9570937,-3.99,-0.37491746
0.996,0.014386,2.954868,-3.99,0.70029058
0.996,0.014399,-2.95438,-3.99,-0.39847196
0.996,0.0145,-2.9502966,-3.99,-0.87384704
0.996,0.014507,2.9499867,-3.99,0.37297736
0.996,0.014548,2.9483362,-3.99,0.67479926
0.996,0.014568,2.9475349,-3.99,0.65195746
0.996,0.014609,-2.9458956,-3.99,-0.48408998
0.996,0.014616,-2.9456156,-3.99,-0.64019226
0.996,0.014639,2.9447221,-3.99,0.32605834
0.996,0.014674,2.9432938,-3.99,0.8919514
0.996,0.014704,-2.9421242,-3.99,-0.6904774
0.996,0.014717,2.9415857,-3.99,0.38633238
0.996,0.014731,-2.9410459,-4,-1.24153694
0.996,0.014765,2.9397083,-4,0.22759562
0.996,0.014771,2.939464,-4,0.79345436
0.996,0.014825,-2.9373561,-4,-0.51573196
0.996,0.014835,2.9369304,-4,0.9066543
0.996,0.014877,2.9352889,-4,0.26779962
0.996,0.014881,-2.9351357,-4,-0.27732516
0.996,0.014893,-2.9346474,-4,-0.94804492
0.996,0.014904,2.9342369,-4,0.6360004
0.996,0.014955,2.9322426,-4,0.6080739
0.996,0.014999,-2.9305282,-4,-0.35367318
0.996,0.015001,2.9304459,-4,0.43701648
0.996,0.015022,2.9296422,-4,1.1519971
0.996,0.015034,2.9291567,-4,0.52722272
0.996,0.015067,-2.9278854,-4,-0.66077224
0.996,0.015072,-2.9276937,-4,-0.96350374
0.996,0.015077,2.9275085,-4,0.53495172
0.996,0.015081,2.9273389,-4,0.6274632
0.996,0.015131,2.9253988,-4,0.76016694
0.996,0.015137,2.9251844,-4,0.515725
0.996,0.015144,2.9249034,-4,0.41269938
0.996,0.015146,2.9248194,-4,0.4923054
0.996,0.01516,2.9242886,-4,0.68583158
0.996,0.015212,2.9222788,-4,0.44034552
0.996,0.015276,2.9198282,-4,0.41218874
0.996,0.015296,2.919086,-4,0.67689884
0.996,0.015312,2.9184671,-4,1.8232504
0.996,0.015338,2.9174926,-4,0.88788248
0.996,0.015346,2.9171887,-4,0.69157552
0.996,0.015388,2.9155952,-4,0.56815728
0.996,0.0154,-2.9151292,-4,-0.51733518
0.996,0.015431,-2.9139608,-4,-0.355695
0.996,0.015438,2.9136861,-4,0.54164656
0.996,0.015447,2.9133522,-4,0.51303412
0.996,0.015485,2.9119138,-4,0.50152748
0.996,0.015529,2.9102477,-4,0.681929
0.996,0.015532,2.9101396,-4,0.38744862
0.996,0.015553,-2.9093777,-4,-0.30062056
0.996,0.015557,2.9092271,-4,1.02682148
0.996,0.01557,-2.9087046,-4,-0.97956286
0.996,0.015628,2.9065404,-4.01,0.4730646
0.996,0.015643,-2.9060072,-4.01,-0.8433908
0.996,0.015687,-2.9043378,-4.01,-0.46197546
0.996,0.015693,2.9041317,-4.01,0.2643969
0.996,0.015706,2.9036563,-4.01,0.36980106
0.996,0.015719,2.903153,-4.01,0.4949508
0.996,0.015733,2.9026589,-4.01,0.93313204
0.996,0.015769,2.901332,-4.01,0.49584846
0.996,0.015784,-2.9007437,-4.01,-0.42865186
0.996,0.0158,-2.9001847,-4.01,-0.36009964
0.996,0.015825,2.8992328,-4.01,0.584515
0.996,0.015834,-2.8989197,-4.01,-1.34237044
0.996,0.01584,-2.8987092,-4.01,-0.69111484
0.996,0.015868,2.8976811,-4.01,0.26541724
0.996,0.015901,2.8964381,-4.01,0.43700296
0.996,0.015916,2.8959012,-4.01,0.94819098
0.996,0.015953,-2.8945419,-4.01,-1.10326374
0.996,0.01601,2.8924641,-4.01,0.74389396
0.996,0.016052,-2.8909407,-4.01,-0.40385148
0.996,0.016077,2.8900483,-4.01,0.4425573
0.996,0.016098,-2.8892634,-4.01,-1.63432266
0.996,0.016135,2.8879352,-4.01,0.3666502
0.996,0.016136,-2.8878929,-4.01,-0.50957116
0.996,0.016156,2.8871687,-4.01,0.24669158
0.996,0.016164,2.8868868,-4.01,0.5756458
0.996,0.016201,2.8855491,-4.01,0.8298598
0.996,0.016209,-2.8852554,-4.01,-1.83767962
0.996,0.016218,2.8849381,-4.01,0.93723994
0.996,0.016226,2.884636,-4.01,0.58622816
0.996,0.016249,-2.8838135,-4.01,-0.78295918
0.996,0.016262,2.8833719,-4.01,0.44355826
0.996,0.016318,2.8813441,-4.01,0.6681656
0.996,0.016341,2.8805195,-4.01,0.40899806
0.996,0.016363,-2.8797417,-4.01,-0.7881104
0.996,0.016365,-2.8796861,-4.01,-0.5245514
0.996,0.016421,-2.8776907,-4.01,-0.92951032
0.996,0.016421,-2.8776824,-4.01,-0.35634088
0.996,0.01644,2.8770203,-4.01,0.43345666
0.996,0.016455,2.8764805,-4.01,0.5445317
0.996,0.016466,2.8760803,-4.01,0.43831646
0.996,0.016484,-2.8754512,-4.01,-0.67550994
0.996,0.016487,-2.8753487,-4.01,-0.94830992
0.996,0.016538,-2.8735572,-4.02,-0.45918728
0.996,0.016586,-2.8718517,-4.02,-1.51741332
0.996,0.016587,2.8718272,-4.02,1.0777382
0.996,0.01659,-2.8717299,-4.02,-1.37536892
0.996,0.016596,-2.8715116,-4.02,-0.51341332
0.996,0.016603,-2.8712479,-4.02,-0.49679414
0.996,0.016607,-2.8711024,-4.02,-0.68812062
0.996,0.016627,2.8704121,-4.02,0.57984458
0.996,0.016637,2.8700714,-4.02,0.39628644
0.996,0.016671,2.8688752,-4.02,0.5725815
0.996,0.016672,2.8688448,-4.02,0.48503276
0.996,0.016677,-2.8686522,-4.02,-0.82560332
0.996,0.016678,2.8686271,-4.02,0.77768678
0.996,0.01668,2.8685521,-4.02,0.57089774
0.996,0.01671,2.8675,-4.02,0.62484108
0.996,0.016723,2.8670465,-4.02,1.45204354
0.996,0.016763,2.8656835,-4.02,0.34518348
0.996,0.016795,2.8645599,-4.02,0.41018766
0.996,0.016799,-2.8644107,-4.02,-0.56148956
0.996,0.016819,-2.863737,-4.02,-1.98728036
0.996,0.016845,-2.8628082,-4.02,-2.20646466
0.996,0.01686,2.8622888,-4.02,0.4652887
0.996,0.016898,2.8609882,-4.02,0.619789
0.996,0.016908,-2.8606457,-4.02,-0.80390884
0.996,0.01691,2.8605687,-4.02,0.40224314
0.996,0.016926,-2.8600403,-4.02,-0.57707256
0.996,0.016929,-2.8599176,-4.02,-0.647715
0.996,0.016968,2.85857,-4.02,0.35847474
0.996,0.016971,-2.8584926,-4.02,-0.6164606
0.996,0.016983,2.8580523,-4.02,0.26758916
0.996,0.017063,2.8553296,-4.02,0.42200338
0.996,0.017067,2.8552022,-4.02,0.33039046
0.996,0.017127,2.8531384,-4.02,1.09520924
0.996,0.017183,-2.8512497,-4.02,-0.67681694
0.996,0.017186,2.8511598,-4.02,1.89236688
0.996,0.017221,-2.8499456,-4.02,-0.29589292
0.996,0.017262,2.8485587,-4.02,0.42383208
0.996,0.017272,2.8482349,-4.02,0.4806237
0.996,0.017308,2.8470062,-4.02,0.32822892
0.996,0.01732,-2.8466105,-4.02,-0.99394436
0.996,0.017324,2.8464789,-4.02,0.5332231
0.996,0.017385,-2.8444269,-4.02,-0.5071572
0.996,0.017405,2.8437742,-4.02,0.84497544
0.996,0.017494,2.8407991,-4.03,2.08282712
0.996,0.017536,2.8393834,-4.03,1.13096068
0.996,0.017554,-2.8387849,-4.03,-0.57633924
0.996,0.017561,-2.8385719,-4.03,-0.73215222
0.996,0.017599,-2.8372914,-4.03,-0.6864815
0.996,0.017602,-2.8371961,-4.03,-0.89348208
0.996,0.017608,2.8370088,-4.03,0.99486234
0.996,0.017618,2.8366834,-4.03,0.33490008
0.996,0.017634,-2.8361384,-4.03,-0.816647
0.996,0.01764,2.8359411,-4.03,0.583569
0.996,0.017658,2.8353563,-4.03,0.645536
0.996,0.017663,2.8351935,-4.03,0.6376776
0.996,0.0177,2.8339647,-4.03,1.04838674
0.996,0.017712,-2.8335749,-4.03,-0.96425264
0.996,0.01773,-2.8329759,-4.03,-0.63480246
0.996,0.017754,2.8321812,-4.03,0.80882982
0.996,0.017755,-2.8321756,-4.03,-0.98751964
0.996,0.017777,2.8314403,-4.03,0.30494464
0.996,0.017786,2.8311334,-4.03,0.84502448
0.996,0.017787,2.831118,-4.03,0.62333544
0.996,0.017805,-2.8305195,-4.03,-0.91898936
0.996,0.01781,-2.8303471,-4.03,-0.78903174
0.996,0.017839,-2.8294143,-4.03,-0.43365484
0.996,0.017887,2.8278546,-4.03,0.30964846
0.996,0.017906,2.8272253,-4.03,0.44041074
0.996,0.017948,2.8258644,-4.03,0.5046376
0.996,0.017986,2.8246195,-4.03,0.5042004
0.996,0.017998,2.8242447,-4.03,0.37197876
0.996,0.017999,2.8242002,-4.03,0.55577444
0.996,0.018013,2.8237496,-4.03,0.6314296
0.996,0.018022,2.823469,-4.03,0.5962246
0.996,0.018037,2.8229878,-4.03,0.7020944
0.996,0.018037,-2.8229772,-4.03,-2.33531144
0.996,0.018038,2.8229335,-4.03,0.56315216
0.996,0.018044,2.8227587,-4.03,0.67635802
0.996,0.018052,-2.8225035,-4.03,-0.60551452
0.996,0.018078,-2.8216449,-4.03,-0.99168856
0.996,0.018088,2.8213225,-4.03,0.6604786
0.996,0.01809,-2.8212694,-4.03,-0.93135756
0.996,0.018094,-2.8211487,-4.03,-0.64760508
0.996,0.018105,-2.8207769,-4.03,-0.65231804
0.996,0.018144,-2.8195431,-4.03,-0.7057038
0.996,0.018152,-2.8192667,-4.03,-0.82282132
0.996,0.018154,-2.8192181,-4.03,-0.94066576
0.996,0.018195,-2.8178983,-4.03,-1.30279714
0.996,0.018196,-2.8178701,-4.03,-0.3509556
0.996,0.018203,2.8176291,-4.03,0.75397612
0.996,0.018216,2.8172174,-4.03,0.31208378
0.996,0.018228,2.8168603,-4.03,0.6181737
0.996,0.018265,2.8156649,-4.03,0.6180054
0.996,0.018308,2.8142914,-4.03,0.35295656
0.996,0.018363,2.8125589,-4.03,0.60433848
0.996,0.018364,2.8125136,-4.03,0.39559006
0.996,0.018439,2.8101325,-4.03,0.57184132
0.996,0.018464,2.8093539,-4.04,0.62394058
0.996,0.018586,-2.8055185,-4.04,-1.1119599
0.996,0.01859,-2.8054041,-4.04,-0.32258902
0.996,0.018595,-2.8052242,-4.04,-0.45271344
0.996,0.018607,2.8048688,-4.04,0.38376674
0.996,0.018655,2.8033497,-4.04,0.8000814
0.996,0.018678,-2.8026444,-4.04,-1.60744364
0.996,0.018685,2.8024248,-4.04,1.2609962
0.996,0.018705,2.8017916,-4.04,0.5056689
0.996,0.01871,-2.8016556,-4.04,-1.57976518
0.996,0.018739,-2.8007383,-4.04,-0.817207
0.996,0.018753,2.8003184,-4.04,0.71797186
0.996,0.018786,2.7992673,-4.04,0.66204004
0.996,0.018793,2.7990714,-4.04,0.5475944
0.996,0.018822,-2.7981655,-4.04,-0.48814142
0.996,0.018849,-2.7973197,-4.04,-0.7394058
0.996,0.018859,2.7970237,-4.04,0.43924978
0.996,0.018889,-2.7961019,-4.04,-0.64574498
0.996,0.018922,-2.7950851,-4.04,-0.69083992
0.996,0.018927,-2.7949132,-4.04,-0.48620056
0.996,0.018937,2.7946111,-4.04,0.55228518
0.996,0.018939,-2.7945658,-4.04,-0.27600386
0.996,0.019072,-2.7904785,-4.04,-2.14125926
0.996,0.019139,2.788455,-4.04,0.3120516
0.996,0.019146,-2.7882351,-4.04,-0.675065
0.996,0.019153,2.7880014,-4.04,0.8187287
0.996,0.019174,-2.7873871,-4.04,-0.66009038
0.996,0.019184,-2.7870688,-4.04,-0.5439002
0.996,0.019195,-2.7867412,-4.04,-0.48494614
0.996,0.019226,2.785796,-4.04,0.41164556
0.996,0.019228,-2.7857452,-4.04,-0.48740038
0.996,0.019249,2.7851007,-4.04,0.73523424
0.996,0.01927,-2.7844735,-4.04,-0.75197766
0.996,0.019343,2.782266,-4.04,0.46949374
0.996,0.019357,2.7818544,-4.04,0.5416574
0.996,0.01936,2.781751,-4.04,0.32108954
0.996,0.01939,2.7808598,-4.04,0.5982136
0.996,0.019398,2.780611,-4.04,0.66580862
0.996,0.019407,2.7803467,-4.04,0.73482616
0.996,0.019411,2.7802121,-4.04,0.430844
0.996,0.019415,-2.7800919,-4.04,-0.81349208
0.996,0.019462,2.7786903,-4.04,0.8696024
0.996,0.019476,-2.7782688,-4.04,-2.04576136
0.996,0.019485,-2.7780068,-4.04,-1.05965478
0.996,0.019491,2.7778172,-4.04,0.92261116
0.996,0.019495,2.7777043,-4.04,0.62005692
0.996,0.0195,2.7775584,-4.04,0.46955108
0.996,0.019517,2.7770603,-4.05,0.25191074
0.996,0.019527,-2.7767572,-4.05,-1.08587206
0.996,0.019533,2.7765724,-4.05,0.8183108
0.996,0.019541,-2.7763275,-4.05,-1.20065352
0.996,0.019549,2.7760905,-4.05,0.5656716
0.996,0.019565,2.7756173,-4.05,0.34681584
0.996,0.019569,2.775489,-4.05,0.394662
0.996,0.019582,2.7751291,-4.05,0.34359628
0.996,0.019628,-2.7737409,-4.05,-0.67325332
0.996,0.019653,-2.7730033,-4.05,-0.8371798
0.996,0.019671,2.7724648,-4.05,0.97989636
0.996,0.019693,2.7718322,-4.05,0.38902268
0.996,0.019714,2.7711981,-4.05,0.495803
0.996,0.019737,2.7705137,-4.05,0.341845
0.996,0.019766,-2.7696703,-4.05,-1.42570966
0.996,0.019773,2.7694731,-4.05,0.32765634
0.996,0.01979,2.76896,-4.05,0.26995972
0.996,0.019811,2.7683524,-4.05,0.4498332
0.996,0.019835,-2.7676512,-4.05,-0.64718466
0.996,0.019835,-2.7676334,-4.05,-0.6033678
0.996,0.019847,-2.7672988,-4.05,-0.46799946
0.996,0.019856,-2.767011,-4.05,-0.91142782
0.996,0.019866,-2.7667285,-4.05,-1.1072782
0.996,0.019893,2.765949,-4.05,0.81292308
0.996,0.019928,2.7649288,-4.05,1.28592162
0.996,0.019928,2.764909,-4.05,0.4767258
0.996,0.019941,2.7645383,-4.05,0.38116594
0.996,0.019977,2.763473,-4.05,0.63316038
0.996,0.019988,-2.7631685,-4.05,-0.73493022
0.996,0.02001,2.7625237,-4.05,0.61202118
0.996,0.020023,2.7621493,-4.05,1.05203708
0.996,0.020039,-2.7616753,-4.05,-1.62471188
